ConvID,text,ratings
"(3, 4108)","Finding Nemo. Genres: ['Animation', 'Adventure', 'Comedy', 'Family']. Actors: ['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould'] [SEP]  R:: Hello What kind of movies do you like?  S:: My favorite movies are the kid movies. Like toy story and lion king Have you seen any new movies lately  ","[(-2, 0), (4108, 1.0)]"
"(3, 6145)","Rush Hour. Genres: ['Action', 'Comedy', 'Crime', 'Thriller']. Actors: ['Ken Leung', 'Jackie Chan', 'Tom Wilkinson'] [SEP]  R:: Hello What kind of movies do you like?  S:: My favorite movies are the kid movies. Like toy story and lion king Have you seen any new movies lately  ","[(-2, 0), (6145, 0.0)]"
"(3, 5)","Toy Story 2. Genres: ['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']. Actors: ['Tom Hanks', 'Tim Allen', 'Joan Cusack'] [SEP]  R:: Hello What kind of movies do you like?  S:: My favorite movies are the kid movies. Like toy story and lion king Have you seen any new movies lately  ","[(-2, 0), (5, 1.0)]"
"(3, 3256)","Raw Deal. Genres: ['Action', 'Crime', 'Thriller']. Actors: ['Arnold Schwarzenegger', 'Kathryn Harrold', 'Sam Wanamaker'] [SEP]  R:: Hello What kind of movies do you like?  S:: My favorite movies are the kid movies. Like toy story and lion king Have you seen any new movies lately  ","[(-2, 0), (3256, 0.0)]"
"(4, 5518)","The Shawshank Redemption. Genres: ['Drama']. Actors: ['Tim Robbins', 'Morgan Freeman', 'Bob Gunton'] [SEP]  R:: Hello What kind of movies do you like?  S:: My favorite movies are the kid movies. Like toy story and lion king Have you seen any new movies lately  R:: Have you seen Aladdin (Animation Adventure Comedy Family Fantasy Musical Romance) or Toy Story 2 (Animation Adventure Comedy Family Fantasy)? I have not seen Finding Nemo (Animation Adventure Comedy Family), but along that genre I have heard that it was good.  S:: Yes I have those are some of my favorites. Have you seen Beauty and the Beast (Family Fantasy Musical Romance)  R:: I haven't seen many new Disney flicks. I haven't seen Beauty and the Beast (Family Fantasy Musical Romance) but that might be a good one.  S:: What is your favorite movie?  ","[(-2, 4), (5518, 1.0)]"
"(4, 850)","Sweet November. Genres: ['Drama', 'Romance']. Actors: ['Keanu Reeves', 'Charlize Theron', 'Jason Isaacs'] [SEP]  R:: Hello What kind of movies do you like?  S:: My favorite movies are the kid movies. Like toy story and lion king Have you seen any new movies lately  R:: Have you seen Aladdin (Animation Adventure Comedy Family Fantasy Musical Romance) or Toy Story 2 (Animation Adventure Comedy Family Fantasy)? I have not seen Finding Nemo (Animation Adventure Comedy Family), but along that genre I have heard that it was good.  S:: Yes I have those are some of my favorites. Have you seen Beauty and the Beast (Family Fantasy Musical Romance)  R:: I haven't seen many new Disney flicks. I haven't seen Beauty and the Beast (Family Fantasy Musical Romance) but that might be a good one.  S:: What is your favorite movie?  ","[(-2, 4), (850, 0.0)]"
"(5, 6086)","Notting Hill. Genres: ['Comedy', 'Drama', 'Romance']. Actors: ['Julia Roberts', 'Hugh Grant', 'Richard McCabe'] [SEP]  S:: Hi, seeking a good romantic comedy.  ","[(-2, 0), (6086, 1.0)]"
"(5, 962)","Equilibrium. Genres: ['Action', 'Drama', 'Sci-Fi', 'Thriller']. Actors: ['Christian Bale', 'Dominic Purcell', 'Sean Bean'] [SEP]  S:: Hi, seeking a good romantic comedy.  ","[(-2, 0), (962, 0.0)]"
"(6, 509)","Pretty Woman. Genres: ['Comedy', 'Romance']. Actors: ['Richard Gere', 'Julia Roberts', 'Ralph Bellamy'] [SEP]  S:: Hi, seeking a good romantic comedy.  R:: ok nice you should try Notting Hill (Comedy Drama Romance) Julia Roberts  S:: I've seen that one! I liked that.  ","[(-2, 1), (509, 1.0)]"
"(6, 6788)","Avengers: Infinity War. Genres: ['Action', 'Adventure', 'Sci-Fi']. Actors: ['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo'] [SEP]  S:: Hi, seeking a good romantic comedy.  R:: ok nice you should try Notting Hill (Comedy Drama Romance) Julia Roberts  S:: I've seen that one! I liked that.  ","[(-2, 1), (6788, 0.0)]"
"(7, 4403)","Casablanca. Genres: ['Drama', 'Romance', 'War']. Actors: ['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid'] [SEP]  S:: Hi, seeking a good romantic comedy.  R:: ok nice you should try Notting Hill (Comedy Drama Romance) Julia Roberts  S:: I've seen that one! I liked that.  R:: or Pretty Woman Pretty Woman (Comedy Romance)  S:: I haven't seen Pretty Woman (Comedy Romance), I'll look into that. What else can you recommend?  ","[(-2, 2), (4403, 1.0)]"
"(7, 3877)","Monster a Go-Go. Genres: ['Horror', 'Sci-Fi']. Actors: ['Philip Morton', 'June Travis', 'George Perry'] [SEP]  S:: Hi, seeking a good romantic comedy.  R:: ok nice you should try Notting Hill (Comedy Drama Romance) Julia Roberts  S:: I've seen that one! I liked that.  R:: or Pretty Woman Pretty Woman (Comedy Romance)  S:: I haven't seen Pretty Woman (Comedy Romance), I'll look into that. What else can you recommend?  ","[(-2, 2), (3877, 0.0)]"
"(8, 1164)","The Notebook. Genres: ['Drama', 'War']. Actors: ['László Gyémánt', 'András Gyémánt', 'Piroska Molnár'] [SEP]  S:: Hi, seeking a good romantic comedy.  R:: ok nice you should try Notting Hill (Comedy Drama Romance) Julia Roberts  S:: I've seen that one! I liked that.  R:: or Pretty Woman Pretty Woman (Comedy Romance)  S:: I haven't seen Pretty Woman (Comedy Romance), I'll look into that. What else can you recommend?  R:: Casablanca (Drama Romance War)  is also nice  S:: I love Casablanca (Drama Romance War)!  ","[(-2, 3), (1164, 1.0)]"
"(8, 3633)","Black Christmas. Genres: ['Horror']. Actors: ['Katie Cassidy', 'Michelle Trachtenberg', 'Mary Elizabeth Winstead'] [SEP]  S:: Hi, seeking a good romantic comedy.  R:: ok nice you should try Notting Hill (Comedy Drama Romance) Julia Roberts  S:: I've seen that one! I liked that.  R:: or Pretty Woman Pretty Woman (Comedy Romance)  S:: I haven't seen Pretty Woman (Comedy Romance), I'll look into that. What else can you recommend?  R:: Casablanca (Drama Romance War)  is also nice  S:: I love Casablanca (Drama Romance War)!  ","[(-2, 3), (3633, 0.0)]"
"(9, 917)","E.T. the Extra-Terrestrial. Genres: ['Family', 'Sci-Fi']. Actors: ['Dee Wallace', 'Henry Thomas', 'Peter Coyote'] [SEP]  R:: hello! what kinds of movies are you looking for today?  S:: How about Steven Spielberg movies. I loved Avatar (Action Adventure Fantasy Sci-Fi)  R:: Good choice! He's a great director  S:: Yes  ","[(-2, 1), (917, 1.0)]"
"(9, 432)","Jump. Genres: ['Comedy', 'Romance', 'Sport']. Actors: ['Kirsten Dunst', 'Eliza Dushku', 'Jesse Bradford'] [SEP]  R:: hello! what kinds of movies are you looking for today?  S:: How about Steven Spielberg movies. I loved Avatar (Action Adventure Fantasy Sci-Fi)  R:: Good choice! He's a great director  S:: Yes  ","[(-2, 1), (432, 0.0)]"
"(9, 5483)","Jaws. Genres: ['Adventure', 'Drama', 'Thriller']. Actors: ['Roy Scheider', 'Robert Shaw', 'Richard Dreyfuss'] [SEP]  R:: hello! what kinds of movies are you looking for today?  S:: How about Steven Spielberg movies. I loved Avatar (Action Adventure Fantasy Sci-Fi)  R:: Good choice! He's a great director  S:: Yes  ","[(-2, 1), (5483, 1.0)]"
"(9, 1034)","Gangs of Wasseypur. Genres: ['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']. Actors: ['Manoj Bajpayee', 'Richa Chadha', 'Nawazuddin Siddiqui'] [SEP]  R:: hello! what kinds of movies are you looking for today?  S:: How about Steven Spielberg movies. I loved Avatar (Action Adventure Fantasy Sci-Fi)  R:: Good choice! He's a great director  S:: Yes  ","[(-2, 1), (1034, 0.0)]"
"(10, 4273)","Indiana Jones. Genres: ['Action', 'Adventure']. Actors: ['Harrison Ford', 'Karen Allen', 'Paul Freeman'] [SEP]  R:: hello! what kinds of movies are you looking for today?  S:: How about Steven Spielberg movies. I loved Avatar (Action Adventure Fantasy Sci-Fi)  R:: Good choice! He's a great director  S:: Yes  R:: E.T. the Extra-Terrestrial (Family Sci-Fi) is a classic, as is Jaws (Adventure Drama Thriller)  S:: I was disappointed with the last Indiana Jones and the Kingdom of the Crystal Skull (Action Adventure)  though. I mean ALeins? Really  R:: Ugh I know it was not good.  S:: Loved E.T. the Extra-Terrestrial (Family Sci-Fi)  and Jaws (Adventure Drama Thriller)  ","[(-2, 5), (4273, 1.0)]"
"(10, 1938)","Japanese Story. Genres: ['Drama', 'Romance']. Actors: ['Toni Collette', 'Gotaro Tsunashima', 'Matthew Dyktynski'] [SEP]  R:: hello! what kinds of movies are you looking for today?  S:: How about Steven Spielberg movies. I loved Avatar (Action Adventure Fantasy Sci-Fi)  R:: Good choice! He's a great director  S:: Yes  R:: E.T. the Extra-Terrestrial (Family Sci-Fi) is a classic, as is Jaws (Adventure Drama Thriller)  S:: I was disappointed with the last Indiana Jones and the Kingdom of the Crystal Skull (Action Adventure)  though. I mean ALeins? Really  R:: Ugh I know it was not good.  S:: Loved E.T. the Extra-Terrestrial (Family Sci-Fi)  and Jaws (Adventure Drama Thriller)  ","[(-2, 5), (1938, 0.0)]"
"(11, 3762)","Jurassic Park. Genres: ['Action', 'Adventure', 'Sci-Fi', 'Thriller']. Actors: ['Sam Neill', 'Laura Dern', 'Jeff Goldblum'] [SEP]  R:: hello! what kinds of movies are you looking for today?  S:: How about Steven Spielberg movies. I loved Avatar (Action Adventure Fantasy Sci-Fi)  R:: Good choice! He's a great director  S:: Yes  R:: E.T. the Extra-Terrestrial (Family Sci-Fi) is a classic, as is Jaws (Adventure Drama Thriller)  S:: I was disappointed with the last Indiana Jones and the Kingdom of the Crystal Skull (Action Adventure)  though. I mean ALeins? Really  R:: Ugh I know it was not good.  S:: Loved E.T. the Extra-Terrestrial (Family Sci-Fi)  and Jaws (Adventure Drama Thriller)  R:: Indiana Jones (Action Adventure) is the best.  S:: Great choices Agreed Well thanks for your suggestions  ","[(-2, 6), (3762, 1.0)]"
"(11, 4063)","Dead Poets Society. Genres: ['Comedy', 'Drama']. Actors: ['Robin Williams', 'Robert Sean Leonard', 'Ethan Hawke'] [SEP]  R:: hello! what kinds of movies are you looking for today?  S:: How about Steven Spielberg movies. I loved Avatar (Action Adventure Fantasy Sci-Fi)  R:: Good choice! He's a great director  S:: Yes  R:: E.T. the Extra-Terrestrial (Family Sci-Fi) is a classic, as is Jaws (Adventure Drama Thriller)  S:: I was disappointed with the last Indiana Jones and the Kingdom of the Crystal Skull (Action Adventure)  though. I mean ALeins? Really  R:: Ugh I know it was not good.  S:: Loved E.T. the Extra-Terrestrial (Family Sci-Fi)  and Jaws (Adventure Drama Thriller)  R:: Indiana Jones (Action Adventure) is the best.  S:: Great choices Agreed Well thanks for your suggestions  ","[(-2, 6), (4063, 0.0)]"
"(11, 5919)","Schindler's List. Genres: ['Biography', 'Drama', 'History']. Actors: ['Liam Neeson', 'Ben Kingsley', 'Ralph Fiennes'] [SEP]  R:: hello! what kinds of movies are you looking for today?  S:: How about Steven Spielberg movies. I loved Avatar (Action Adventure Fantasy Sci-Fi)  R:: Good choice! He's a great director  S:: Yes  R:: E.T. the Extra-Terrestrial (Family Sci-Fi) is a classic, as is Jaws (Adventure Drama Thriller)  S:: I was disappointed with the last Indiana Jones and the Kingdom of the Crystal Skull (Action Adventure)  though. I mean ALeins? Really  R:: Ugh I know it was not good.  S:: Loved E.T. the Extra-Terrestrial (Family Sci-Fi)  and Jaws (Adventure Drama Thriller)  R:: Indiana Jones (Action Adventure) is the best.  S:: Great choices Agreed Well thanks for your suggestions  ","[(-2, 6), (5919, 0.0)]"
"(11, 5068)","Charlie St. Cloud. Genres: ['Drama', 'Fantasy', 'Romance']. Actors: ['Zac Efron', 'Charlie Tahan', 'Amanda Crew'] [SEP]  R:: hello! what kinds of movies are you looking for today?  S:: How about Steven Spielberg movies. I loved Avatar (Action Adventure Fantasy Sci-Fi)  R:: Good choice! He's a great director  S:: Yes  R:: E.T. the Extra-Terrestrial (Family Sci-Fi) is a classic, as is Jaws (Adventure Drama Thriller)  S:: I was disappointed with the last Indiana Jones and the Kingdom of the Crystal Skull (Action Adventure)  though. I mean ALeins? Really  R:: Ugh I know it was not good.  S:: Loved E.T. the Extra-Terrestrial (Family Sci-Fi)  and Jaws (Adventure Drama Thriller)  R:: Indiana Jones (Action Adventure) is the best.  S:: Great choices Agreed Well thanks for your suggestions  ","[(-2, 6), (5068, 0.0)]"
"(12, 4552)","The BFG. Genres: ['Adventure', 'Family', 'Fantasy']. Actors: ['Mark Rylance', 'Ruby Barnhill', 'Penelope Wilton'] [SEP]  R:: hello! what kinds of movies are you looking for today?  S:: How about Steven Spielberg movies. I loved Avatar (Action Adventure Fantasy Sci-Fi)  R:: Good choice! He's a great director  S:: Yes  R:: E.T. the Extra-Terrestrial (Family Sci-Fi) is a classic, as is Jaws (Adventure Drama Thriller)  S:: I was disappointed with the last Indiana Jones and the Kingdom of the Crystal Skull (Action Adventure)  though. I mean ALeins? Really  R:: Ugh I know it was not good.  S:: Loved E.T. the Extra-Terrestrial (Family Sci-Fi)  and Jaws (Adventure Drama Thriller)  R:: Indiana Jones (Action Adventure) is the best.  S:: Great choices Agreed Well thanks for your suggestions  R:: I haven't seen it, but I've heard amazing things about Schindler's List (Biography Drama History) Oh, and can't forget Jurassic Park (Action Adventure Sci-Fi Thriller)  S:: Haven't seen it ither maybe too heavy for me But of course my kids love anything with dinosaurs  ","[(-2, 8), (4552, 1.0)]"
"(12, 3622)","The Deep End of the Ocean. Genres: ['Drama']. Actors: ['Michelle Pfeiffer', 'Treat Williams', 'Whoopi Goldberg'] [SEP]  R:: hello! what kinds of movies are you looking for today?  S:: How about Steven Spielberg movies. I loved Avatar (Action Adventure Fantasy Sci-Fi)  R:: Good choice! He's a great director  S:: Yes  R:: E.T. the Extra-Terrestrial (Family Sci-Fi) is a classic, as is Jaws (Adventure Drama Thriller)  S:: I was disappointed with the last Indiana Jones and the Kingdom of the Crystal Skull (Action Adventure)  though. I mean ALeins? Really  R:: Ugh I know it was not good.  S:: Loved E.T. the Extra-Terrestrial (Family Sci-Fi)  and Jaws (Adventure Drama Thriller)  R:: Indiana Jones (Action Adventure) is the best.  S:: Great choices Agreed Well thanks for your suggestions  R:: I haven't seen it, but I've heard amazing things about Schindler's List (Biography Drama History) Oh, and can't forget Jurassic Park (Action Adventure Sci-Fi Thriller)  S:: Haven't seen it ither maybe too heavy for me But of course my kids love anything with dinosaurs  ","[(-2, 8), (3622, 0.0)]"
"(13, 1889)","Bachelor Party. Genres: ['Action', 'Crime']. Actors: ['Asif Ali', 'Indrajith Sukumaran', 'Rahman'] [SEP]  R:: Hi, What kind of movie would you like? to see? to see?  S:: You have anything set in S Korea?  ","[(-2, 0), (1889, 1.0)]"
"(13, 2956)","Tales from the Hood. Genres: ['Crime', 'Horror', 'Thriller']. Actors: ['Clarence Williams III', 'Joe Torry', ""De'aundre Bonds""] [SEP]  R:: Hi, What kind of movie would you like? to see? to see?  S:: You have anything set in S Korea?  ","[(-2, 0), (2956, 0.0)]"
